sale_id,customer_name,product_name,product_category,quantity,price,discount,sale_date,payment_method,sales_rep_name,customer_email,customer_phone,shipping_address,order_status
1,Dulcea Trevor,"Beef - Rib Roast, Capless",food,5,642.01,0.97,12/1/2020,credit card,Jarvis von Nassau,jvon0@cpanel.net,589-298-9151,75 Ludington Terrace,shipped
2,Jacques Pietrusiak,Pickerel - Fillets,food,38,643.97,0.51,11/22/2021,credit card,David Hubbock,dhubbock1@jiathis.com,331-705-9786,8 Ridgeview Junction,shipped
3,Harp Le-Good,Bag - Regular Kraft 20 Lb,food,4,605.24,0.72,1/26/2020,debit card,Karalee Guyer,kguyer2@nbcnews.com,488-116-0795,7 Loomis Parkway,pending
4,Vittoria Handscomb,Ecolab Digiclean Mild Fm,clothing,30,320.19,0.31,5/9/2021,cash,Mellicent Losel,mlosel3@altervista.org,603-451-8540,4925 Mitchell Place,pending
5,Allene Roskeilly,Lidsoupcont Rp12dn,food,37,755.01,0.1,2/15/2021,cash,Amalle Boc,aboc4@squidoo.com,738-468-6239,7 Barby Pass,delivered
6,Filide Cummungs,Miso - Soy Bean Paste,clothing,33,146.64,0.06,1/15/2020,credit card,Kameko Cruikshanks,kcruikshanks5@mail.ru,527-289-2509,8 Nova Plaza,delivered
7,Walsh Rumens,Cinnamon Rolls,clothing,12,361,0.05,1/24/2021,cash,Benedikt Tryhorn,btryhorn6@huffingtonpost.com,875-281-8660,79 East Way,pending
8,Raul d' Eye,Carbonated Water - Orange,electronics,15,477.21,0.58,6/10/2020,debit card,Kai Weinham,kweinham7@slate.com,789-438-0097,35 Pine View Circle,shipped
9,Annmarie Glasper,"Lemonade - Mandarin, 591 Ml",food,17,4.97,0.02,12/28/2020,debit card,Marguerite Lamke,mlamke8@vimeo.com,105-447-7127,967 Nancy Terrace,pending
10,Lin Wathey,Beer - Mcauslan Apricot,food,72,241.38,0.61,5/22/2020,debit card,Xever Dakin,xdakin9@webnode.com,863-441-3143,0247 Fairview Parkway,shipped
11,Averil Wharf,Sprouts - Baby Pea Tendrils,electronics,97,36.54,0.76,7/16/2021,credit card,Dyna Kewley,dkewleya@ox.ac.uk,677-178-1871,54 Pleasure Trail,shipped
12,Gale Foley,"Crush - Orange, 355ml",electronics,39,964.61,0.42,5/18/2020,cash,Rufus Darwen,rdarwenb@disqus.com,671-828-0960,6 Mockingbird Park,pending
13,Catherine Stiegar,"Nut - Pistachio, Shelled",clothing,3,801.66,0.37,12/30/2021,credit card,Karissa Berndtssen,kberndtssenc@mtv.com,786-873-4121,4486 Laurel Lane,shipped
14,Tanitansy Zecchi,Glycerine,clothing,80,259.26,0.93,1/23/2021,credit card,Barr Suttell,bsuttelld@pagesperso-orange.fr,150-999-0254,705 Londonderry Junction,shipped
15,Nevile Bondley,Ecolab - Hand Soap Form Antibac,clothing,63,697.46,0.09,3/16/2020,cash,Hillier Woodson,hwoodsone@constantcontact.com,600-900-4457,4 Gina Pass,shipped
16,Kiley Winkless,Glucose,electronics,16,749.27,0.2,10/12/2020,cash,Harwell Carratt,hcarrattf@gmpg.org,453-547-6710,0022 Londonderry Road,pending
17,Bastien Vasile,Milk - 2% 250 Ml,food,81,141.54,0.41,10/27/2020,cash,Rene Juliff,rjuliffg@cloudflare.com,430-218-0033,94357 Melrose Circle,shipped
18,Brewster Ludlam,Mcgillicuddy Vanilla Schnap,food,11,427.34,0.18,5/20/2020,credit card,Ethelind Doldon,edoldonh@psu.edu,440-315-4131,16524 Cascade Parkway,shipped
19,Paddie Gallymore,Syrup - Monin - Granny Smith,food,76,275.95,0.76,7/11/2021,debit card,Fernande Tomasz,ftomaszi@digg.com,105-538-4337,767 Grayhawk Way,shipped
20,Biron Cud,Oven Mitt - 13 Inch,electronics,87,30.29,0.22,12/27/2021,credit card,Grayce Glaserman,gglasermanj@techcrunch.com,825-377-9302,9223 Sage Point,pending
21,Clarence Duligall,Mustard - Seed,food,73,845.96,0.46,9/3/2020,debit card,Elsa Beevers,ebeeversk@webeden.co.uk,921-111-2884,3 Westerfield Hill,delivered
22,Lorrayne Connew,Cheese - Parmesan Grated,electronics,41,821.74,0.56,9/15/2021,credit card,Trent Ely,telyl@cnet.com,165-680-1629,82 Larry Park,shipped
